subset,model,sample_id,estimated_cost_usd,thinking_tokens,score_accuracy,run_duration_sec
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_9,9.741723004,156.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_91,27.941152757,158.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_41,63.024766683,686.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_42,110.389110554,467.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_65,141.449970893,166.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_50,158.966191952,127.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_1,158.277392267,325.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_70,139.69570290299998,169.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_15,133.94926954200002,365.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_78,139.84272238600002,273.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_73,137.10056696900003,147.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_10,147.20697580100006,620.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_55,145.78290116600004,122.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_56,138.06454270500006,424.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_72,142.99763256500006,155.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_45,131.32203956400002,296.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_48,127.765182773,148.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_92,123.39235378799992,392.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_76,119.04262720399991,442.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_37,122.59712622999996,146.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_30,123.52580876399998,262.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_21,121.892793268,143.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_32,109.90339096799994,179.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_96,103.71860186499998,193.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_80,97.90522388499994,270.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_49,100.90367721500002,283.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_83,115.03433736,321.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_26,122.296845201,267.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_87,125.37568885500002,143.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_33,125.45256051399996,485.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_8,129.50636262400008,426.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_47,144.86289085600004,327.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_59,164.53695074200004,266.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_63,178.39373806900005,365.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_74,180.20741483200004,361.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_44,166.95708066199995,291.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_98,153.74693687299987,64.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_52,148.53488916699985,517.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_85,151.78564235099975,647.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_12,165.64268967299972,382.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_36,176.2427000319999,71.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_23,168.05966583099985,131.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_39,146.85539208299997,219.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_40,114.78433383700008,135.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_18,85.16103023000005,182.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_66,73.87237272700008,304.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_61,72.14362899899993,322.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_60,79.04664288699996,374.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_7,90.46814566299986,404.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_34,106.42760200299996,834.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_9,7.70505751099995,318.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_41,32.23374448200002,835.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_42,62.61464506900006,315.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_91,96.00682254100002,105.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_65,117.69912712200016,277.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_50,110.47541885200008,162.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_1,92.67358199699991,63.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_70,73.59187744699989,243.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_15,68.06636233699987,624.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_78,74.0919870319999,171.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_73,86.10322481100002,143.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_10,103.58389454300004,322.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_55,99.85273187100006,94.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_56,103.510729783,754.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_72,127.21917952299988,1400.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_45,143.05570963399987,347.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_48,175.62600582199957,466.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_92,210.8890841819998,1292.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_76,208.64013069199973,205.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_37,209.4535378529997,535.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_30,200.24003371699973,105.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_21,169.40800274299954,371.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_32,161.00316198899964,573.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_96,143.5752606139995,270.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_80,131.8352760269995,120.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_49,128.2433550099995,77.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_83,134.35903443899952,1870.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_26,165.3611450679996,1772.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_87,196.52412500399987,179.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_33,234.13647958599995,235.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_8,241.557906305,594.0,1.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_47,217.38717758400023,269.0,0.0,
college_chemistry,ollama_gpt-oss:20b_think_unspecified,college_chemistry_59,202.66278667300003,290.0,1.0,
