mode,subset,sample_id,original_score,new_score,difference
mode_unspecified,abstract_algebra,abstract_algebra_41,0.0,1.0,1.0
mode_unspecified,abstract_algebra,abstract_algebra_92,0.0,1.0,1.0
mode_unspecified,abstract_algebra,abstract_algebra_49,0.0,1.0,1.0
mode_unspecified,abstract_algebra,abstract_algebra_63,0.0,1.0,1.0
mode_unspecified,abstract_algebra,abstract_algebra_85,0.0,1.0,1.0
mode_unspecified,abstract_algebra,abstract_algebra_34,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_15,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_72,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_45,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_92,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_21,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_33,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_26,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_12,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_52,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_23,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_85,0.0,1.0,1.0
mode_unspecified,college_chemistry,college_chemistry_36,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_9,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_42,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_91,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_50,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_15,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_45,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_73,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_56,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_48,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_30,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_33,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_87,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_59,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_52,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_85,0.0,1.0,1.0
mode_unspecified,college_mathematics,college_mathematics_18,0.0,1.0,1.0
mode_unspecified,college_physics,college_physics_67,0.0,1.0,1.0
mode_unspecified,college_physics,college_physics_80,0.0,1.0,1.0
mode_unspecified,college_physics,college_physics_68,0.0,1.0,1.0
mode_unspecified,conceptual_physics,conceptual_physics_145,0.0,1.0,1.0
mode_unspecified,elementary_mathematics,elementary_mathematics_338,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_60,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_104,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_52,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_47,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_13,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_78,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_158,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_9,0.0,1.0,1.0
mode_unspecified,high_school_chemistry,high_school_chemistry_124,0.0,1.0,1.0
mode_unspecified,high_school_mathematics,high_school_mathematics_249,0.0,1.0,1.0
mode_unspecified,high_school_mathematics,high_school_mathematics_212,0.0,1.0,1.0
mode_unspecified,high_school_mathematics,high_school_mathematics_73,0.0,1.0,1.0
mode_unspecified,high_school_mathematics,high_school_mathematics_3,0.0,1.0,1.0
mode_unspecified,high_school_mathematics,high_school_mathematics_89,0.0,1.0,1.0
mode_unspecified,high_school_mathematics,high_school_mathematics_191,0.0,1.0,1.0
mode_unspecified,high_school_physics,high_school_physics_67,0.0,1.0,1.0
mode_unspecified,high_school_physics,high_school_physics_98,0.0,1.0,1.0
mode_unspecified,high_school_physics,high_school_physics_0,0.0,1.0,1.0
mode_unspecified,high_school_physics,high_school_physics_142,0.0,1.0,1.0
mode_unspecified,high_school_physics,high_school_physics_147,0.0,1.0,1.0
mode_unspecified,high_school_physics,high_school_physics_82,0.0,1.0,1.0
mode_unspecified,high_school_physics,high_school_physics_64,0.0,1.0,1.0
mode_unspecified,high_school_statistics,high_school_statistics_30,0.0,1.0,1.0
mode_unspecified,high_school_statistics,high_school_statistics_73,0.0,1.0,1.0
mode_unspecified,high_school_statistics,high_school_statistics_115,0.0,1.0,1.0
mode_unspecified,high_school_statistics,high_school_statistics_130,0.0,1.0,1.0
mode_unspecified,high_school_statistics,high_school_statistics_64,0.0,1.0,1.0
mode_unspecified,high_school_statistics,high_school_statistics_38,0.0,1.0,1.0
