mode,subset,sample_id,original_score,new_score,difference
mode_high,abstract_algebra,abstract_algebra_33,0.0,1.0,1.0
mode_high,college_chemistry,college_chemistry_72,0.0,1.0,1.0
mode_high,college_chemistry,college_chemistry_47,0.0,1.0,1.0
mode_high,college_chemistry,college_chemistry_52,0.0,1.0,1.0
mode_high,college_mathematics,college_mathematics_10,0.0,1.0,1.0
mode_high,college_physics,college_physics_9,0.0,1.0,1.0
mode_high,college_physics,college_physics_48,0.0,1.0,1.0
mode_high,conceptual_physics,conceptual_physics_209,0.0,1.0,1.0
mode_high,elementary_mathematics,elementary_mathematics_221,0.0,1.0,1.0
mode_high,elementary_mathematics,elementary_mathematics_249,0.0,1.0,1.0
mode_high,high_school_chemistry,high_school_chemistry_52,0.0,1.0,1.0
mode_high,high_school_chemistry,high_school_chemistry_47,0.0,1.0,1.0
mode_high,high_school_chemistry,high_school_chemistry_78,0.0,1.0,1.0
mode_high,high_school_mathematics,high_school_mathematics_3,0.0,1.0,1.0
mode_high,high_school_physics,high_school_physics_98,0.0,1.0,1.0
mode_high,high_school_physics,high_school_physics_88,0.0,1.0,1.0
mode_high,high_school_physics,high_school_physics_95,0.0,1.0,1.0
mode_high,high_school_physics,high_school_physics_127,0.0,1.0,1.0
mode_high,high_school_physics,high_school_physics_52,0.0,1.0,1.0
mode_high,high_school_statistics,high_school_statistics_38,0.0,1.0,1.0
mode_low,abstract_algebra,abstract_algebra_83,0.0,1.0,1.0
mode_low,college_chemistry,college_chemistry_15,0.0,1.0,1.0
mode_low,college_chemistry,college_chemistry_45,0.0,1.0,1.0
mode_low,college_chemistry,college_chemistry_47,0.0,1.0,1.0
mode_low,college_chemistry,college_chemistry_98,0.0,1.0,1.0
mode_low,college_chemistry,college_chemistry_52,0.0,1.0,1.0
mode_low,college_mathematics,college_mathematics_52,0.0,1.0,1.0
mode_low,college_mathematics,college_mathematics_85,0.0,1.0,1.0
mode_low,college_mathematics,college_mathematics_18,0.0,1.0,1.0
mode_low,college_mathematics,college_mathematics_60,0.0,1.0,1.0
mode_low,college_physics,college_physics_80,0.0,1.0,1.0
mode_low,conceptual_physics,conceptual_physics_112,0.0,1.0,1.0
mode_low,conceptual_physics,conceptual_physics_98,0.0,1.0,1.0
mode_low,elementary_mathematics,elementary_mathematics_338,0.0,1.0,1.0
mode_low,high_school_chemistry,high_school_chemistry_194,0.0,1.0,1.0
mode_low,high_school_chemistry,high_school_chemistry_52,0.0,1.0,1.0
mode_low,high_school_chemistry,high_school_chemistry_47,0.0,1.0,1.0
mode_low,high_school_chemistry,high_school_chemistry_38,0.0,1.0,1.0
